"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,,,,,,,,,
,"ITCER con USA","ITCER global","ITCER con la región CAPARD","ITCER con el resto del mundo","ITCER con USA, variación interanual","ITCER global, variación interanual","ITCER con la región CAPARD, variación interanual","ITCER con el resto del mundo, variación interanual","ITCER con USA, variación con el año base","ITCER global, variación con el año base","ITCER con la región CAPARD, variación con el año base","ITCER con el resto del mundo, variación con el año base"
2019-Julio,53.76,53.98,59.10,52.49,0.02,-0.84,-1.07,-0.68,-46.24,-46.02,-40.90,-47.51
2019-Agosto,54.21,54.03,59.60,52.42,0.91,-0.55,-0.19,-0.58,-45.79,-45.97,-40.40,-47.58
2019-Setiembre,54.85,54.58,59.99,53.01,0.48,-1.04,-0.70,-1.06,-45.15,-45.42,-40.01,-46.99
2019-Octubre,54.93,54.76,59.87,53.27,0,-1.04,-1.23,-0.91,-45.07,-45.24,-40.13,-46.73
2019-Noviembre,54.28,54.29,59.38,52.80,-0.77,-0.82,-1.34,-0.58,-45.72,-45.71,-40.62,-47.20
2019-Diciembre,53.80,54.02,59.15,52.52,-1.64,-1.62,-2.09,-1.39,-46.20,-45.98,-40.85,-47.48
2020-Enero,54.15,54.72,59.31,53.00,0.16,0.32,-0.05,-0.27,-45.85,-45.28,-40.69,-47.00
2020-Febrero,54.21,54.54,59.20,52.80,-0.04,-0.31,-0.19,-1.04,-45.79,-45.46,-40.80,-47.20
2020-Marzo,54.13,53.39,59.20,51.36,-0.21,-2.25,-0.19,-3.53,-45.87,-46.61,-40.80,-48.64
2020-Abril,53.53,52.18,58.70,49.98,-0.67,-3.79,-0.47,-5.43,-46.47,-47.82,-41.30,-50.02
2020-Mayo,53.35,52.10,58.40,49.96,-1.31,-3.78,-1.47,-5.12,-46.65,-47.90,-41.60,-50.04
2020-Junio,52.91,52.10,57.68,50.14,-1.73,-3.40,-2.31,-4.38,-47.09,-47.90,-42.32,-49.86
2020-Julio,52.94,52.14,57.45,50.26,-1.53,-3.40,-2.79,-4.24,-47.06,-47.86,-42.55,-49.74
2020-Agosto,52.96,52.27,57.03,50.53,-2.30,-3.27,-4.30,-3.60,-47.04,-47.73,-42.97,-49.47
2020-Setiembre,53.32,52.85,57.29,51.19,-2.78,-3.18,-4.50,-3.44,-46.68,-47.15,-42.71,-48.81
2020-Octubre,52.93,52.61,56.93,50.99,-3.64,-3.93,-4.92,-4.29,-47.07,-47.39,-43.07,-49.01
2020-Noviembre,52.64,52.75,56.76,51.20,-3.02,-2.84,-4.41,-3.02,-47.36,-47.25,-43.24,-48.80
2020-Diciembre,52.78,53.45,57.21,51.97,-1.89,-1.05,-3.28,-1.06,-47.22,-46.55,-42.79,-48.03
2021-Enero,52.84,52.96,57.38,51.37,-2.42,-3.23,-3.26,-3.09,-47.16,-47.04,-42.62,-48.63
2021-Febrero,52.63,52.58,57.09,50.96,-2.90,-3.60,-3.57,-3.49,-47.37,-47.42,-42.91,-49.04
