Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Índice de precios al consumidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,,El Salvador,,,,Guatemala,,,,Honduras,,,,Nicaragua,,,,República Dominicana,,,,Panamá,,,
,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior
1995-Diciembre,17.25,1.15,22.57,22.57,62.48,0.11,11.37,11.37,36.96,0.50,8.61,8.61,55.15,1.54,26.79,26.79,38.88,-0.94,11.12,11.12,17.31,0.22,9.22,9.22,62.92,0.37,0.84,0.84
1996-Enero,17.47,1.27,19.14,1.27,63.45,1.55,12.20,1.55,37.37,1.12,9.76,1.12,55.43,0.50,23.87,0.50,39.06,0.46,11.19,0.46,17.29,-0.08,7.48,-0.08,62.92,0,1.31,0
1996-Febrero,17.65,1.02,18.60,2.30,63.60,0.24,11.25,1.79,37.61,0.64,10.83,1.77,57.01,2.84,21.39,3.36,39.46,1.02,11.41,1.49,17.31,0.13,7.19,0.05,62.92,0,1.31,0
1996-Marzo,17.75,0.56,18.29,2.87,63.91,0.49,10.55,2.29,38.01,1.07,11.48,2.85,57.88,1.54,21.56,4.95,39.78,0.81,11.68,2.31,17.34,0.14,6.47,0.19,63.10,0.28,1.31,0.28
1996-Abril,17.88,0.76,18.51,3.65,64.15,0.38,10.28,2.67,38.47,1.19,11.95,4.08,59.08,2.06,20.96,7.11,40.11,0.83,12.64,3.16,17.36,0.12,6.75,0.31,63.21,0.18,1.31,0.46
1996-Mayo,18.18,1.67,19.45,5.39,64.63,0.75,10.33,3.44,38.71,0.63,11.02,4.73,60.31,2.09,21.28,9.35,40.80,1.72,13.78,4.94,17.40,0.23,6.54,0.54,63.10,-0.18,0.84,0.28
1996-Junio,18.43,1.36,19.30,6.83,65.69,1.64,11.17,5.14,38.96,0.64,10.34,5.41,61.83,2.52,23.19,12.10,40.95,0.37,12.13,5.32,17.46,0.34,6.24,0.89,63.04,-0.09,0.56,0.19
1996-Julio,18.64,1.17,18.69,8.07,65.69,0,8.35,5.14,39.49,1.36,11.60,6.84,63.24,2.28,24.34,14.66,41.06,0.27,11.09,5.61,17.50,0.26,5.81,1.15,63.21,0.28,0.74,0.46
1996-Agosto,18.82,0.96,18.51,9.11,67.65,2.99,10.83,8.28,39.88,0.99,12.03,7.90,65.01,2.80,26.24,17.88,40.74,-0.78,12.02,4.78,17.53,0.16,4.80,1.31,63.33,0.18,0.74,0.65
1996-Setiembre,18.99,0.91,17.41,10.11,67.25,-0.59,8.71,7.64,40.01,0.33,11.77,8.26,66.12,1.70,25.72,19.88,41.16,1.03,12.00,5.86,17.63,0.55,3.77,1.86,63.51,0.28,1.11,0.93
1996-Octubre,19.24,1.30,15.49,11.53,67.28,0.04,8.27,7.68,40.16,0.37,10.64,8.66,67.09,1.47,25.24,21.65,42.22,2.58,10.64,8.59,17.67,0.23,3.26,2.09,63.80,0.46,1.76,1.39
1996-Noviembre,19.44,1.02,13.97,12.67,66.89,-0.57,7.18,7.06,40.62,1.14,10.44,9.90,68.42,1.98,25.96,24.05,42.82,1.42,9.10,10.13,17.78,0.66,2.99,2.76,63.85,0.09,1.86,1.48
1996-Diciembre,19.65,1.08,13.89,13.89,67.08,0.28,7.36,7.36,40.97,0.87,10.85,10.85,69.18,1.11,25.43,25.43,43.59,1.80,12.11,12.11,17.99,1.15,3.95,3.95,64.38,0.82,2.31,2.31
1997-Enero,20.05,2.06,14.78,2.06,67.61,0.79,6.56,0.79,41.41,1.07,10.80,1.07,70.59,2.04,27.35,2.04,43.49,-0.23,11.34,-0.23,18.49,2.81,6.95,2.81,64.20,-0.27,2.04,-0.27
1997-Febrero,20.18,0.63,14.33,2.70,68.54,1.38,7.77,2.18,42.38,2.33,12.66,3.42,72.30,2.42,26.83,4.51,43.48,-0.02,10.19,-0.25,18.47,-0.12,6.68,2.68,64.20,0,2.04,-0.27
1997-Marzo,20.40,1.09,14.94,3.82,68.67,0.19,7.45,2.37,42.39,0.03,11.51,3.45,72.85,0.76,25.85,5.30,43.45,-0.07,9.23,-0.32,18.50,0.14,6.68,2.82,64.15,-0.09,1.66,-0.36
1997-Abril,20.67,1.34,15.60,5.21,68.71,0.06,7.11,2.43,42.37,-0.05,10.13,3.40,73.27,0.58,24.03,5.92,43.60,0.35,8.70,0.02,18.66,0.86,7.47,3.71,63.97,-0.27,1.20,-0.63
1997-Mayo,20.78,0.51,14.28,5.75,68.56,-0.22,6.08,2.21,42.43,0.16,9.61,3.56,74.19,1.26,23.02,7.25,43.93,0.76,7.67,0.78,18.69,0.19,7.43,3.90,64.15,0.27,1.66,-0.36
1997-Junio,20.94,0.78,13.62,6.58,68.82,0.38,4.76,2.59,42.45,0.05,8.97,3.61,75.15,1.29,21.55,8.63,44.83,2.05,9.47,2.84,18.77,0.43,7.52,4.36,64.20,0.09,1.85,-0.27
1997-Julio,21.12,0.86,13.28,7.49,69.36,0.78,5.59,3.40,42.64,0.44,7.98,4.07,76.20,1.40,20.49,10.15,45.59,1.70,11.03,4.59,19.13,1.90,9.28,6.34,64.32,0.18,1.75,-0.09
1997-Agosto,21.35,1.11,13.45,8.69,68.89,-0.67,1.83,2.71,43.09,1.05,8.05,5.17,77.14,1.24,18.66,11.52,45.33,-0.57,11.27,3.99,19.25,0.62,9.78,6.99,64.32,0,1.56,-0.09
1997-Setiembre,21.27,-0.40,11.97,8.25,68.67,-0.32,2.11,2.37,43.35,0.60,8.33,5.80,77.39,0.31,17.04,11.86,44.95,-0.84,9.21,3.12,19.37,0.63,9.87,7.67,64.38,0.09,1.37,0
1997-Octubre,21.31,0.17,10.73,8.44,68.45,-0.33,1.74,2.04,43.57,0.51,8.48,6.34,77.18,-0.27,15.03,11.57,45.18,0.51,7.01,3.65,19.43,0.32,9.98,8.01,64.09,-0.45,0.46,-0.45
1997-Noviembre,21.66,1.68,11.45,10.26,68.37,-0.11,2.21,1.93,43.73,0.37,7.66,6.73,77.78,0.77,13.68,12.43,46.49,2.90,8.57,6.65,19.46,0.16,9.43,8.19,64.03,-0.09,0.27,-0.54
1997-Diciembre,21.85,0.85,11.20,11.20,68.38,0.01,1.94,1.94,43.89,0.37,7.13,7.13,77.95,0.22,12.67,12.67,46.75,0.56,7.25,7.25,19.49,0.17,8.37,8.37,64.09,0.09,-0.45,-0.45
1998-Enero,22.20,1.59,10.69,1.59,69.22,1.23,2.38,1.23,44.43,1.22,7.29,1.22,78.59,0.83,11.34,0.83,47.04,0.62,8.16,0.62,19.51,0.09,5.51,0.09,64.32,0.36,0.18,0.36
1998-Febrero,22.42,1.01,11.11,2.62,69.40,0.26,1.25,1.49,44.68,0.58,5.45,1.81,80.54,2.48,11.40,3.33,47.69,1.38,9.68,2.01,19.50,-0.06,5.57,0.03,64.15,-0.27,-0.09,0.09
1998-Marzo,22.66,1.05,11.07,3.70,69.70,0.43,1.50,1.93,44.98,0.65,6.11,2.47,81.90,1.69,12.44,5.08,48.20,1.07,10.93,3.10,19.47,-0.16,5.25,-0.13,64.26,0.18,0.18,0.27
