fecha,ipc,m1,m0,cpi,debt,exports,rev,hydro,imae,itcer,lendrate,deprate,tpm,banana
2013-01-01,3.86,3.581727424598924,4.545805435468786,1.6700386614722618,11.436904471127818,10.694485519894492,15.53031070319868,0.04697776472237791,4.23,-0.34,9.3,5.42,5,8.086075766085088
2013-02-01,4.18,5.084203731595949,8.65282371396674,1.9980459426809816,22.239610274938748,-7.721691757246774,1.559000199547178,3.265358255230666,4.07,-1.67,8.94,5.45,5,9.54729024559784
2013-03-01,4.34,5.251964770062401,6.747764659479749,1.5073297321459125,22.289786222473573,-5.101324295809473,1.318673950689586,-7.238922933118452,0.61,-1.49,8.78,5.46,5,2.698251651704009
2013-04-01,4.13,7.943423951676287,13.666344120694164,1.1323724421044012,23.15540996641676,1.5419806657702928,20.89449386522162,-13.917059219799288,6.38,-1.67,9.03,5.45,5.25,4.451569505814934
2013-05-01,4.27,7.065327478659178,14.518357363584755,1.3808115942114618,22.925562221646523,10.233782017122817,9.893270365288664,-7.5042260605364675,4.11,-1.61,8.94,5.44,5.25,4.38150870914793
2013-06-01,4.79,9.001396993653543,11.1518952417061,1.7012400261643634,11.142075720197475,-2.8548968297442023,-6.6761909969525135,-1.0091407935430396,2.75,-2.41,8.42,5.46,5.25,2.235856042054518
2013-07-01,4.74,7.784460208886479,9.119341555252802,1.8679171018338712,6.807612272460339,5.500051751855661,14.701617381856202,2.3428889177581347,3.87,-2.2,8.48,5.45,5.25,3.195827050053701
2013-08-01,4.42,8.131710687604077,8.673579951993382,1.5270898906586616,6.017591177496584,-3.1208553705905473,1.6884497034951096,-5.8204160935373395,3.52,-2.17,8.82,5.47,5.25,2.662488959270082
2013-09-01,4.21,8.431096316874509,7.753096320753805,1.088785270925996,5.8042334594240685,-7.043120981720019,11.04833435805208,-9.158939576569749,3.94,-3.31,9.04,5.5,5.25,2.3866039256548177
2013-10-01,4.15,7.759072891968266,9.173182311885064,0.8729775818349772,5.042752166313491,4.615383007402762,10.31939148742449,-8.293095249730875,3.28,-1.78,9.13,5.47,5,-0.7466174811492365
2013-11-01,4.63,6.682512394158202,8.25911731702007,1.2253322438004588,8.046035517813976,-0.6578562793037257,5.305402355993394,-2.606312920630849,3.28,-2.94,8.65,5.5,5,3.930987812339559
2013-12-01,4.39,4.288797544792722,4.112402568209994,1.5015090867017022,11.45992103233322,0.24251254761802343,-8.921950978304949,-6.279370401715845,2.1,-3.38,8.92,5.46,5,7.643217762393029
2014-01-01,4.14,6.729969226190136,8.331473726113181,1.545750281811209,11.742010386601542,0.8655980951608022,6.163523921200564,-5.213822844022875,3.79,-3.12,9.26,6.06,5,0.8798600451124017
2014-02-01,3.5,4.397964702094903,6.425998797933019,1.1142438176857894,1.2804264907064322,1.2112278938767318,3.2869953755167103,-15.171549741771884,3.8,-3.41,9.96,6.07,5,-0.4862956045663225
2014-03-01,3.25,3.5295023415853777,6.569571886191916,1.5998291291059452,1.7189990718646797,5.371882002644313,0.5767024700595869,-7.542898784011776,4.9,-3.14,10.22,5.5,4.75,-0.33446881095509085
2014-04-01,3.27,1.548245382655722,-1.3221039151002143,1.995090359296281,1.0450701515125616,5.558201445933797,5.5585981860041045,1.1633754020138554,3.55,-2.43,10.21,5.5,4.75,-1.5498931397813998
2014-05-01,3.22,4.998554577115044,3.3002072195008836,2.1438031323914863,1.1259843661152402,-1.9667963205192152,1.396839687844853,3.373376644038828,4.96,-2.01,10.28,5.51,4.75,0.28106824365776717
2014-06-01,3.13,5.014306576104133,6.279977808836712,2.0380712080756425,0.7911333100661722,9.811901261557663,13.809045912723583,3.3627694677622166,4.48,-0.85,10.38,5.5,4.5,0.5016681776335297
2014-07-01,3.41,5.257412429039832,6.887314523834576,1.9550025496311465,5.138651050919663,13.621563412884896,8.4084355434916,-2.9922418488130376,5.24,-1.43,10.11,5.46,4.5,0
2014-08-01,3.7,6.134084925022343,5.619831724676061,1.7005565715979998,5.450285801033772,8.298371775703828,8.320697602441207,-5.629973657239962,3.58,-2.74,9.68,5.46,4.5,3.184517639190343
2014-09-01,3.45,5.001759168941078,8.424714602296213,1.6700280492135455,5.360554995947808,18.838403917464497,7.802445635972788,-8.163852253411008,4.13,-4.62,9.94,5.48,4.5,2.8835703916508137
2014-10-01,3.64,5.342125309326029,4.88615399867296,1.596725913786301,5.484406840629497,14.1047722785836,0.8467843768766414,-12.888049596853168,4.33,-6.79,9.74,5.49,4.5,4.930320696668478
2014-11-01,3.38,5.706448625804583,5.103750404032681,1.2240034107743547,3.0458046982229092,4.409434313532579,5.267518252631298,-22.88855219259993,4.63,-6.58,9.99,5.49,4,-2.342435900136408
2014-12-01,2.95,6.862917495001852,7.205668200109905,0.6509977956253188,-0.43842777958449375,10.825084836493204,10.615907232329567,-49.30786136403196,5.84,-7.3,10.39,5.46,4,-2.9757341657721703
2015-01-01,2.32,9.723458224298652,9.9339563473956,-0.2301957253808773,4.316661441174396,5.1101751026336295,1.2729280227581796,-66.66178356301229,4.83,-7.24,11.02,5.45,4,0
2015-02-01,2.44,9.273369348170135,8.516678483983142,-0.0870693573011394,5.278427338885727,9.398916819168068,7.4048725578400365,-56.89860416977908,4.49,-6.47,10.78,5.45,3.5,0
2015-03-01,2.43,10.530014654836428,11.330298040547504,-0.02203371166791257,4.917717650646125,-3.0669135696995475,3.9659700961284017,-55.664450138121865,4.74,-6.97,10.69,5.45,3.5,0
2015-04-01,2.58,11.822549955538795,11.987235477630342,-0.10408513918598317,6.468038368634055,-2.6967441560802996,0.73461243868298,-54.27153422699034,2.73,-6.44,10.44,5.43,3.5,0
