Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,
Índice Mensual de la Actividad Económica,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,
Fechas,Guatemala,,,,,
,Serie original,,,Tendencia-ciclo,,
,IMAE,"IMAE, variación interanual","IMAE, variación acumulada",IMAE,"IMAE, variación interanual","IMAE, variación acumulada"
2019-Setiembre,120.29,4.43,3.78,123.52,3.54,3.71
2019-Octubre,122.31,3.68,3.77,123.69,3.92,3.73
2019-Noviembre,126.81,4.62,3.85,124.03,4.21,3.78
2019-Diciembre,130.50,4.08,3.87,124.02,3.85,3.78
2020-Enero,127.36,4.58,4.58,123.12,2.34,2.34
2020-Febrero,125.48,2.55,3.56,121.23,-0.30,1.02
2020-Marzo,121.47,-3.53,1.15,118.66,-3.54,-0.52
2020-Abril,112.92,-8.94,-1.38,116.41,-6.28,-1.98
2020-Mayo,111.27,-10.10,-3.13,115.47,-7.49,-3.10
2020-Junio,110.90,-7.60,-3.85,116.38,-6.77,-3.72
2020-Julio,117.30,-4.24,-3.91,118.75,-4.51,-3.84
2020-Agosto,120.29,-1.08,-3.56,121.62,-1.74,-3.57
2020-Setiembre,121.52,1.02,-3.06,124.16,0.52,-3.12
2020-Octubre,125.80,2.86,-2.47,125.91,1.80,-2.63
2020-Noviembre,128.89,1.64,-2.08,126.93,2.33,-2.17
2020-Diciembre,136.13,4.31,-1.52,127.50,2.81,-1.76
2021-Enero,129.41,1.62,1.62,127.97,3.94,3.94
2021-Febrero,129.01,2.81,2.21,128.65,6.12,5.02
2021-Marzo,133.38,9.81,4.68,129.67,9.28,6.41
2021-Abril,129.80,14.95,7.06,130.85,12.41,7.87
2021-Mayo,129.30,16.21,8.76,131.87,14.20,9.10
2021-Junio,126.87,14.40,9.64,132.39,13.76,9.86
2021-Julio,130.77,11.48,9.90,132.46,11.55,10.10
2021-Agosto,130.01,8.08,9.67,132.33,8.81,9.94
2021-Setiembre,129.20,6.32,9.29,132.32,6.57,9.55
2021-Octubre,131.41,4.46,8.78,132.48,5.21,9.09
2021-Noviembre,135.90,5.44,8.45,132.73,4.58,8.66
2021-Diciembre,141.42,3.89,8.03,133.08,4.38,8.29
2022-Enero,134.62,4.02,4.02,133.61,4.40,4.40
