"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Deuda pública",,,,,,
"Deuda pública mensual interna y externa y su relación con el PIB",,,,,,
"Unidad de medida: Millones de US dólares.  Relación respecto al PIB, en porcentajes.",,,,,,
Fechas,Guatemala,,,,,
,"Deuda total","Deuda interna bruta - ME","Deuda externa","Deuda total / PIB","Deuda interna bruta / PIB","Deuda externa / PIB"
2018-Setiembre,19233.68,15267.41,8272.86,26.27,20.86,11.30
2018-Octubre,19148.32,15267.63,8246.54,26.16,20.86,11.26
2018-Noviembre,19659.42,15853.88,8228.60,26.86,21.66,11.24
2018-Diciembre,18962.67,15140.85,8224.65,25.90,20.68,11.23
2019-Enero,19739.11,15895.62,8214.38,25.63,20.64,10.67
2019-Febrero,19647.85,15951.45,8166.29,25.51,20.71,10.60
2019-Marzo,19908.52,16337.21,8129.39,25.85,21.21,10.55
2019-Abril,19834.59,16436.29,8078.57,25.75,21.34,10.49
2019-Mayo,20926.83,16367.51,9263.17,27.17,21.25,12.03
2019-Junio,21208.64,16762.39,9251.46,27.54,21.76,12.01
2019-Julio,21106.22,16784.65,9215.04,27.40,21.79,11.96
2019-Agosto,21480.84,17268.88,9177.00,27.89,22.42,11.92
2019-Setiembre,21265.89,17072.48,9139.31,27.61,22.17,11.87
2019-Octubre,21194.82,17102.75,9125.33,27.52,22.21,11.85
2019-Noviembre,21434.45,17398.57,9113.67,27.83,22.59,11.83
2019-Diciembre,21143.43,17025.60,9105.81,27.45,22.11,11.82
2020-Enero,21966.79,17919.90,9105.51,28.31,23.09,11.73
2020-Febrero,22232.32,18316.00,9040.42,28.65,23.60,11.65
2020-Marzo,21554.18,17584.32,9003.72,27.77,22.66,11.60
2020-Abril,22772.58,17821.18,10477.72,29.34,22.96,13.50
2020-Mayo,23757.43,18834.74,10462.27,30.61,24.27,13.48
2020-Junio,24059.21,19259.41,10448.61,31.00,24.82,13.46
2020-Julio,24607.74,20086.94,10423.20,31.71,25.88,13.43
2020-Agosto,24899.64,20639.98,10389.40,32.09,26.60,13.39
2020-Setiembre,24595.59,20742.87,10346.33,31.69,26.73,13.33
2020-Octubre,25663.02,21872.68,10416.26,33.07,28.18,13.42
2020-Noviembre,25117.52,21448.81,10410.41,32.37,27.64,13.41
2020-Diciembre,24187.02,20402.58,10449.77,31.17,26.29,13.47
2021-Enero,25777.01,22075.41,10411.52,29.93,25.63,12.09
2021-Febrero,25699.20,22184.25,10365.87,29.84,25.76,12.04
2021-Marzo,25464.25,21925.06,10327.19,29.57,25.46,11.99
2021-Abril,26352.28,22839.14,10308.75,30.60,26.52,11.97
2021-Mayo,25886.41,22359.10,10287.19,30.06,25.96,11.94
2021-Junio,25490.72,21867.75,10274.33,29.60,25.39,11.93
2021-Julio,26556.69,22948.86,10249.66,30.83,26.65,11.90
2021-Agosto,26136.36,22585.86,10205.96,30.35,26.22,11.85
2021-Setiembre,26062.71,22550.78,10176.16,30.26,26.18,11.82
2021-Octubre,27514.48,23039.27,11118.69,31.95,26.75,12.91
2021-Noviembre,26751.37,22226.30,11135.26,31.06,25.81,12.93
2021-Diciembre,25774.59,21056.47,11097.15,29.93,24.45,12.88
2022-Enero,27660.68,23168.45,11069.85,--,--,--
